0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:21 +0700] "GET /CrmWeb/assets/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:22 +0700] "GET /CrmWeb/assets/plugins/images/favicon.png HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:26 +0700] "GET /CrmWeb/status HTTP/1.1" 200 7581
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:26 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:29 +0700] "GET /CrmWeb/status/add HTTP/1.1" 200 5863
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:29 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:32 +0700] "POST /CrmWeb/status/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:32 +0700] "GET /CrmWeb/status HTTP/1.1" 200 7962
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:32 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:36 +0700] "GET /CrmWeb/status/delete?id=8 HTTP/1.1" 200 7581
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:36 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:38 +0700] "GET /CrmWeb/project HTTP/1.1" 200 6938
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:38 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:41 +0700] "GET /CrmWeb/project/add HTTP/1.1" 200 6222
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:41 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:49 +0700] "POST /CrmWeb/project/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:49 +0700] "GET /CrmWeb/project HTTP/1.1" 200 7378
